UTC time,coal,nat_gas,nuclear,hydro,solar,wind,other
2019-01-01 00:00:00,9400,19491,3915,189,161,5020,26
2019-01-01 01:00:00,10389,20168,3915,188,0,5597,24
2019-01-01 02:00:00,9953,19096,3915,159,0,6637,23
2019-01-01 03:00:00,8359,17909,3915,133,0,8692,23
2019-01-01 04:00:00,7253,16086,3914,99,0,11110,23
2019-01-01 05:00:00,6908,14365,3915,99,0,12431,24
2019-01-01 06:00:00,6114,13386,3915,99,0,13676,24
2019-01-01 07:00:00,6215,12517,3915,168,0,14318,26
2019-01-01 08:00:00,6412,12459,3915,168,0,14127,22
2019-01-01 09:00:00,6322,12903,3915,169,0,13687,22
2019-01-01 10:00:00,6584,13266,3914,169,0,13345,22
2019-01-01 11:00:00,6607,13905,3914,168,0,13238,23
2019-01-01 12:00:00,6996,15322,3914,203,0,12348,22
2019-01-01 13:00:00,7572,16812,3914,205,0,11367,21
2019-01-01 14:00:00,7823,18070,3914,204,1,10412,16
2019-01-01 15:00:00,8272,19010,3914,204,28,9485,12
2019-01-01 16:00:00,9357,19984,3914,205,73,8162,12
2019-01-01 17:00:00,10055,20859,3914,204,136,6986,13
2019-01-01 18:00:00,10598,21260,3914,181,204,6126,13
2019-01-01 19:00:00,10966,21210,3914,168,250,5501,14
2019-01-01 20:00:00,11090,21071,3914,168,199,5043,14
2019-01-01 21:00:00,11369,20911,3914,169,156,4596,14
2019-01-01 22:00:00,11686,21252,3915,194,87,3943,14
2019-01-01 23:00:00,12097,22126,3915,230,38,3493,13
2019-01-02 00:00:00,12394,24321,3915,229,7,3253,14
2019-01-02 01:00:00,12439,25977,3915,202,0,2934,14
2019-01-02 02:00:00,12487,25947,3915,202,0,2779,14
2019-01-02 03:00:00,12527,25495,3915,177,0,2783,14
2019-01-02 04:00:00,12538,24631,3915,176,0,2651,16
2019-01-02 05:00:00,12287,23453,3915,140,0,2427,13
2019-01-02 06:00:00,11681,22266,3915,141,0,2500,13
2019-01-02 07:00:00,10684,21958,3914,194,0,2403,13
2019-01-02 08:00:00,10317,21539,3914,169,0,2535,15
2019-01-02 09:00:00,9983,21362,3914,169,0,2904,15
2019-01-02 10:00:00,9833,21504,3914,169,0,3325,14
2019-01-02 11:00:00,9988,22415,3914,170,0,3501,13
2019-01-02 12:00:00,11224,23759,3914,206,0,3279,16
2019-01-02 13:00:00,11936,26407,3914,230,0,2736,13
2019-01-02 14:00:00,12284,28564,3914,231,0,2373,14
2019-01-02 15:00:00,12296,30036,3914,231,11,2044,15
2019-01-02 16:00:00,12312,30945,3914,245,53,2036,19
2019-01-02 17:00:00,12285,32193,3914,251,121,1677,18
2019-01-02 18:00:00,12332,33586,3914,213,129,1130,17
2019-01-02 19:00:00,12256,33244,3914,213,150,1346,15
2019-01-02 20:00:00,12172,33512,3914,213,194,1281,15
2019-01-02 21:00:00,11957,32978,3913,213,154,1711,15
2019-01-02 22:00:00,11937,32754,3913,249,99,2027,14
2019-01-02 23:00:00,11861,33317,3912,283,47,1800,15
2019-01-03 00:00:00,11716,34850,3913,237,6,1550,15
2019-01-03 01:00:00,11711,35442,3913,227,0,1203,16
2019-01-03 02:00:00,11808,35037,3914,227,0,759,14
2019-01-03 03:00:00,11816,34188,3914,256,0,634,14
2019-01-03 04:00:00,11675,32241,3914,257,0,878,17
2019-01-03 05:00:00,11708,29767,3913,256,0,871,16
2019-01-03 06:00:00,11846,27429,3914,256,0,755,16
2019-01-03 07:00:00,11223,25876,3915,309,0,1187,17
2019-01-03 08:00:00,10744,24692,3914,284,0,1825,15
2019-01-03 09:00:00,10229,24114,3915,281,0,2525,15
2019-01-03 10:00:00,9781,23809,3915,279,0,3230,15
2019-01-03 11:00:00,9950,24622,3914,251,0,3295,16
2019-01-03 12:00:00,10855,25679,3915,280,0,3625,13
2019-01-03 13:00:00,11404,27151,3915,306,0,3744,20
2019-01-03 14:00:00,11503,28761,3915,308,1,3914,16
2019-01-03 15:00:00,11493,28814,3916,308,287,4040,12
2019-01-03 16:00:00,11328,28793,3916,309,957,3757,12
2019-01-03 17:00:00,10924,28525,3915,282,1106,4586,15
2019-01-03 18:00:00,10452,27574,3916,254,1126,5425,13
2019-01-03 19:00:00,9800,26452,3915,241,1104,6259,12
2019-01-03 20:00:00,9085,25316,3916,212,1092,6977,12
2019-01-03 21:00:00,8233,23932,3915,242,1128,8084,14
2019-01-03 22:00:00,7945,23950,3915,242,1121,7580,18
2019-01-03 23:00:00,8714,25266,3916,243,842,6009,19
2019-01-04 00:00:00,9575,28129,3916,283,167,4548,20
2019-01-04 01:00:00,10621,29662,3915,256,0,4118,17
2019-01-04 02:00:00,10839,28610,3915,257,0,5165,19
2019-01-04 03:00:00,10908,27991,3915,257,0,5835,18
2019-01-04 04:00:00,10969,27048,3916,216,0,5742,20
2019-01-04 05:00:00,10684,26014,3916,244,0,5275,17
2019-01-04 06:00:00,9854,24261,3919,243,0,6039,16
2019-01-04 07:00:00,8425,22916,3922,269,0,7605,16
2019-01-04 08:00:00,7328,22197,3920,244,0,8968,16
2019-01-04 09:00:00,6809,21524,3916,243,0,9935,17
2019-01-04 10:00:00,6665,21244,3916,244,0,10675,17
2019-01-04 11:00:00,6615,22046,3916,244,0,10854,17
2019-01-04 12:00:00,7210,24531,3916,244,0,10122,17
2019-01-04 13:00:00,8642,26676,3916,307,0,9085,17
2019-01-04 14:00:00,9932,28374,3916,310,2,7670,18
2019-01-04 15:00:00,10103,27690,3917,310,356,6852,18
2019-01-04 16:00:00,10168,27801,3916,312,1120,3833,18
2019-01-04 17:00:00,10623,27639,3917,246,1241,1429,19
2019-01-04 18:00:00,10202,26429,3917,243,1237,1090,17
2019-01-04 19:00:00,8873,25566,3917,245,1217,1204,17
2019-01-04 20:00:00,7894,24472,3917,245,1221,1393,18
2019-01-04 21:00:00,7456,23362,3917,245,1236,1724,17
2019-01-04 22:00:00,7208,22737,3914,215,1200,1724,20
2019-01-04 23:00:00,7312,23122,3911,245,918,1326,18
2019-01-05 00:00:00,8050,24421,3911,286,189,1259,20
2019-01-05 01:00:00,9248,25095,3911,286,0,1817,17
2019-01-05 02:00:00,8899,24801,3910,246,0,2967,17
2019-01-05 03:00:00,8606,24663,3911,247,0,3613,18
2019-01-05 04:00:00,8287,24217,3911,246,0,4217,20
2019-01-05 05:00:00,7919,23445,3910,246,0,4462,16
2019-01-05 06:00:00,7622,22495,3911,246,0,4530,16
2019-01-05 07:00:00,7183,22048,3910,270,0,4450,16
2019-01-05 08:00:00,7174,21480,3910,246,0,4918,18
2019-01-05 09:00:00,7131,21138,3910,247,0,5263,21
2019-01-05 10:00:00,7258,21475,3911,247,0,5348,20
2019-01-05 11:00:00,7662,22472,3911,247,0,4919,17
2019-01-05 12:00:00,8857,23610,3911,247,0,4024,17
2019-01-05 13:00:00,10003,24653,3911,273,0,3751,18
2019-01-05 14:00:00,10401,25510,3911,273,2,4001,19
2019-01-05 15:00:00,10437,25050,3911,272,312,3986,16
2019-01-05 16:00:00,10136,23196,3911,273,1080,3371,16
2019-01-05 17:00:00,9488,22393,3911,250,1133,2553,19
2019-01-05 18:00:00,8788,20847,3911,247,1107,2804,19
2019-01-05 19:00:00,8854,17939,3911,247,1100,4074,17
2019-01-05 20:00:00,8161,16204,3911,248,1104,5382,18
2019-01-05 21:00:00,7357,15435,3911,247,1116,6217,19
2019-01-05 22:00:00,6870,14901,3911,247,1063,6905,18
2019-01-05 23:00:00,6821,14978,3911,248,779,7125,16
2019-01-06 00:00:00,7484,15212,3911,247,132,7842,19
2019-01-06 01:00:00,6962,14274,3911,248,0,11310,16
2019-01-06 02:00:00,6198,12041,3911,249,0,14340,15
2019-01-06 03:00:00,5785,10591,3911,249,0,15763,16
2019-01-06 04:00:00,5862,9935,3911,249,0,16005,18
2019-01-06 05:00:00,6050,9196,3911,250,0,15767,17
2019-01-06 06:00:00,6021,8509,3911,249,0,15669,17
2019-01-06 07:00:00,5835,8249,3911,274,0,15335,17
2019-01-06 08:00:00,5613,8048,3910,253,0,14913,17
2019-01-06 09:00:00,5515,7951,3910,249,0,14914,16
2019-01-06 10:00:00,5559,8026,3910,249,0,15031,17
2019-01-06 11:00:00,5633,8201,3910,249,0,15258,17
2019-01-06 12:00:00,5841,8805,3910,249,0,15324,19
2019-01-06 13:00:00,6117,9283,3911,275,0,15967,12
2019-01-06 14:00:00,6276,9654,3910,274,1,16529,17
2019-01-06 15:00:00,6588,10318,3910,275,101,16051,17
2019-01-06 16:00:00,6993,10414,3910,274,439,14886,20
2019-01-06 17:00:00,6365,9837,3910,249,640,15005,17
2019-01-06 18:00:00,5554,8824,3910,249,500,16259,19
2019-01-06 19:00:00,5235,8566,3911,248,429,16365,18
2019-01-06 20:00:00,5185,8632,3910,248,407,16010,18
2019-01-06 21:00:00,5139,8572,3910,248,359,15800,17
2019-01-06 22:00:00,5143,8779,3910,249,339,15502,16
2019-01-06 23:00:00,5202,8800,3910,248,213,15807,10
2019-01-07 00:00:00,5687,9025,3910,248,35,16301,9
2019-01-07 01:00:00,6353,9884,3911,248,0,16708,17
2019-01-07 02:00:00,6601,9473,3910,248,0,16820,16
2019-01-07 03:00:00,6154,9157,3910,248,0,17075,15
2019-01-07 04:00:00,5738,8675,3910,247,0,16704,16
2019-01-07 05:00:00,5246,8197,3910,248,0,15800,15
2019-01-07 06:00:00,4934,7098,3910,248,0,15100,15
2019-01-07 07:00:00,4821,6670,3910,274,0,14289,10
2019-01-07 08:00:00,4752,6556,3910,249,0,13440,10
2019-01-07 09:00:00,4756,6581,3910,248,0,12882,9
2019-01-07 10:00:00,4741,6558,3910,248,0,12935,11
2019-01-07 11:00:00,4773,7135,3910,249,0,13097,20
2019-01-07 12:00:00,4899,9359,3911,249,0,12621,21
2019-01-07 13:00:00,5776,12210,3911,274,0,11808,18
2019-01-07 14:00:00,6637,12956,3910,275,0,11859,20
2019-01-07 15:00:00,6558,13781,3892,275,198,11249,17
2019-01-07 16:00:00,7005,15229,3903,275,891,9289,20
2019-01-07 17:00:00,7833,16349,3909,239,1071,7898,20
2019-01-07 18:00:00,8560,16965,3910,285,1052,6737,23
2019-01-07 19:00:00,8961,16619,3910,292,1033,6621,20
2019-01-07 20:00:00,8747,16290,3913,291,966,7357,21
2019-01-07 21:00:00,8449,16140,3915,291,989,7588,20
2019-01-07 22:00:00,8554,16331,3915,291,1075,7041,19
2019-01-07 23:00:00,8716,16570,3915,290,852,6690,19
2019-01-08 00:00:00,9620,16777,3915,291,179,7035,18
2019-01-08 01:00:00,10168,16957,3915,293,0,8318,19
2019-01-08 02:00:00,9555,16429,3914,293,0,9234,17
2019-01-08 03:00:00,8871,15275,3914,292,0,10085,16
2019-01-08 04:00:00,7727,14198,3915,292,0,10914,16
2019-01-08 05:00:00,6260,12680,3915,293,0,11654,16
2019-01-08 06:00:00,5538,11563,3915,292,0,10971,16
2019-01-08 07:00:00,5285,11152,3915,288,0,9958,19
2019-01-08 08:00:00,5530,11226,3915,251,0,8786,19
2019-01-08 09:00:00,6083,11437,3915,249,0,7701,16
2019-01-08 10:00:00,6114,11546,3915,249,0,7499,17
2019-01-08 11:00:00,5990,12150,3915,250,0,7778,17
