UTC time,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown,avg_solar_production_forecast,avg_wind_production_forecast
2019-01-01 00:00,200.0,207.0,17.0,173.0,0.0,409.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 01:00,200.0,205.0,17.0,150.0,0.0,405.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 02:00,200.0,206.0,17.0,157.0,0.0,380.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 03:00,200.0,205.0,17.0,123.0,0.0,424.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 04:00,200.0,214.0,18.0,154.0,0.0,374.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 05:00,200.0,213.0,19.0,234.0,0.0,345.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 06:00,200.0,215.0,18.0,282.0,0.0,345.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 07:00,200.0,215.0,18.0,383.0,3.0,326.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 08:00,199.0,216.0,17.0,382.0,8.0,276.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 09:00,200.0,216.0,18.0,448.0,11.0,213.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 10:00,200.0,216.0,19.0,468.0,13.0,132.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 11:00,200.0,215.0,18.0,478.0,13.0,97.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 12:00,200.0,214.0,18.0,449.0,12.0,92.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 13:00,200.0,214.0,18.0,419.0,9.0,74.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 14:00,200.0,214.0,18.0,418.0,3.0,59.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 15:00,200.0,213.0,17.0,494.0,0.0,56.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 16:00,199.0,215.0,17.0,682.0,0.0,61.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 17:00,200.0,215.0,17.0,744.0,0.0,61.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 18:00,201.0,215.0,16.0,762.0,0.0,35.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 19:00,200.0,215.0,16.0,743.0,0.0,23.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 20:00,200.0,215.0,17.0,739.0,0.0,24.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 21:00,199.0,215.0,21.0,622.0,0.0,31.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 22:00,199.0,212.0,21.0,579.0,0.0,27.0,40.0,0.0,46.0,0.0,0.0
2019-01-01 23:00,200.0,212.0,22.0,317.0,0.0,21.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 00:00,199.0,211.0,21.0,235.0,0.0,22.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 01:00,200.0,210.0,21.0,238.0,0.0,23.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 02:00,200.0,209.0,21.0,265.0,0.0,31.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 03:00,200.0,213.0,21.0,256.0,0.0,64.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 04:00,200.0,214.0,25.0,268.0,0.0,76.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 05:00,200.0,214.0,23.0,518.0,0.0,79.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 06:00,200.0,214.0,19.0,716.0,0.0,117.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 07:00,200.0,214.0,17.0,816.0,4.0,210.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 08:00,199.0,214.0,17.0,738.0,9.0,341.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 09:00,200.0,215.0,18.0,744.0,12.0,410.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 10:00,200.0,216.0,18.0,745.0,14.0,440.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 11:00,200.0,216.0,18.0,720.0,14.0,460.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 12:00,200.0,214.0,18.0,701.0,13.0,460.0,40.0,0.0,46.0,0.0,0.0
2019-01-02 13:00,200.0,214.0,18.0,719.0,10.0,435.0,40.0,0.0,46.0,0.0,0.0
