UTC time,coal,nat_gas,oil,hydro,solar,wind,biomass,geothermal,unknown
2019-01-01 00:00,2090.0,8389.0,8.0,1853.0,0.0,5088.0,542.0,673.0,3092.0
2019-01-01 01:00,2177.0,7863.0,8.0,1777.0,0.0,5086.0,535.0,673.0,2859.0
2019-01-01 02:00,1827.0,6806.0,8.0,1607.0,0.0,5131.0,544.0,672.0,2452.0
2019-01-01 03:00,1714.0,6569.0,8.0,1599.0,0.0,5235.0,547.0,674.0,2376.0
2019-01-01 04:00,1712.0,6949.0,8.0,1601.0,0.0,4950.0,543.0,674.0,2545.0
2019-01-01 05:00,1717.0,6770.0,8.0,1573.0,0.0,4741.0,544.0,674.0,2746.0
2019-01-01 06:00,1713.0,6643.0,8.0,1679.0,44.0,4418.0,544.0,673.0,2468.0
2019-01-01 07:00,1706.0,5949.0,8.0,2149.0,1052.0,4210.0,552.0,672.0,2283.0
2019-01-01 08:00,1725.0,5983.0,8.0,2287.0,2840.0,3656.0,547.0,673.0,2169.0
2019-01-01 09:00,1777.0,5946.0,8.0,2287.0,4601.0,3262.0,554.0,673.0,2108.0
2019-01-01 10:00,1726.0,5903.0,8.0,2024.0,5270.0,3477.0,556.0,673.0,2188.0
2019-01-01 11:00,1739.0,6277.0,8.0,1953.0,5453.0,3892.0,567.0,670.0,2459.0
2019-01-01 12:00,1729.0,6570.0,8.0,1904.0,4925.0,3460.0,569.0,669.0,2374.0
2019-01-01 13:00,1819.0,6293.0,8.0,1801.0,3427.0,3213.0,559.0,667.0,2234.0
2019-01-01 14:00,1766.0,6702.0,8.0,1931.0,1788.0,3308.0,560.0,668.0,2588.0
2019-01-01 15:00,1773.0,8450.0,19.0,3024.0,225.0,3468.0,554.0,669.0,2853.0
2019-01-01 16:00,1765.0,9667.0,58.0,4525.0,1.0,3078.0,560.0,671.0,2989.0
2019-01-01 17:00,1767.0,10030.0,67.0,4806.0,0.0,3058.0,559.0,673.0,3018.0
2019-01-01 18:00,1754.0,10211.0,67.0,5227.0,0.0,3124.0,559.0,671.0,3019.0
2019-01-01 19:00,1804.0,10533.0,67.0,4339.0,0.0,3091.0,559.0,669.0,2886.0
2019-01-01 20:00,1820.0,10802.0,67.0,3335.0,0.0,2923.0,545.0,669.0,2877.0
2019-01-01 21:00,1768.0,11059.0,67.0,2741.0,0.0,2674.0,533.0,669.0,2769.0
2019-01-01 22:00,1751.0,9704.0,66.0,2183.0,0.0,2362.0,548.0,668.0,2644.0
2019-01-01 23:00,1753.0,8014.0,66.0,1718.0,0.0,2202.0,556.0,666.0,2701.0
2019-01-02 00:00,1724.0,6029.0,67.0,1524.0,0.0,2255.0,555.0,667.0,2490.0
2019-01-02 01:00,1712.0,5478.0,67.0,1466.0,0.0,2412.0,562.0,666.0,2407.0
2019-01-02 02:00,1689.0,5341.0,67.0,1438.0,0.0,2719.0,559.0,666.0,2281.0
2019-01-02 03:00,1690.0,5611.0,67.0,1489.0,0.0,3179.0,557.0,666.0,2302.0
2019-01-02 04:00,1742.0,6472.0,66.0,1510.0,0.0,3248.0,556.0,667.0,2572.0
2019-01-02 05:00,1835.0,8099.0,67.0,1571.0,0.0,2904.0,557.0,667.0,2999.0
2019-01-02 06:00,2402.0,10713.0,66.0,2568.0,53.0,2654.0,540.0,667.0,3391.0
2019-01-02 07:00,2577.0,11743.0,66.0,3607.0,739.0,2131.0,540.0,666.0,3452.0
2019-01-02 08:00,2661.0,13043.0,67.0,3740.0,2284.0,1777.0,542.0,664.0,3485.0
2019-01-02 09:00,2789.0,13377.0,69.0,3569.0,3273.0,1735.0,529.0,665.0,3458.0
2019-01-02 10:00,2779.0,13739.0,74.0,3300.0,3921.0,1718.0,549.0,667.0,3387.0
2019-01-02 11:00,2694.0,13927.0,67.0,2878.0,5048.0,2110.0,555.0,667.0,3476.0
2019-01-02 12:00,2477.0,12364.0,67.0,2300.0,5033.0,3380.0,563.0,667.0,3167.0
2019-01-02 13:00,2422.0,11538.0,67.0,2243.0,3738.0,4997.0,561.0,659.0,3164.0
2019-01-02 14:00,2583.0,12393.0,83.0,2862.0,1500.0,5294.0,561.0,661.0,3486.0
2019-01-02 15:00,2383.0,14106.0,131.0,3974.0,171.0,4874.0,558.0,661.0,3618.0
2019-01-02 16:00,2386.0,15172.0,109.0,5232.0,0.0,4165.0,565.0,661.0,3644.0
2019-01-02 17:00,2445.0,15317.0,67.0,5480.0,0.0,4365.0,557.0,661.0,3602.0
2019-01-02 18:00,2291.0,14784.0,67.0,5007.0,0.0,4711.0,554.0,673.0,3511.0
2019-01-02 19:00,2244.0,14684.0,67.0,3974.0,0.0,5079.0,541.0,675.0,3467.0
2019-01-02 20:00,2316.0,13684.0,65.0,3038.0,1.0,4975.0,554.0,675.0,3366.0
2019-01-02 21:00,2111.0,11918.0,8.0,2719.0,1.0,4908.0,548.0,674.0,3145.0
2019-01-02 22:00,1752.0,9750.0,8.0,2142.0,1.0,5276.0,532.0,674.0,2781.0
2019-01-02 23:00,1551.0,8309.0,21.0,1744.0,0.0,5709.0,550.0,674.0,2741.0
2019-01-03 00:00,1462.0,8002.0,21.0,1715.0,1.0,5544.0,557.0,676.0,2615.5
2019-01-03 01:00,1458.0,7925.0,21.0,1757.0,1.0,4954.0,561.0,675.0,2511.25
2019-01-03 02:00,1457.0,7908.0,21.0,1686.0,0.0,4964.0,550.0,676.0,2396.125
2019-01-03 03:00,1455.0,7954.0,21.0,1748.0,0.0,5075.0,551.0,676.0,2349.0625
2019-01-03 04:00,1474.0,8716.0,21.0,1786.0,0.0,5142.0,558.0,676.0,2460.53125
2019-01-03 05:00,1624.0,9691.0,21.0,1754.0,0.0,5830.0,555.0,676.0,2729.765625
2019-01-03 06:00,2011.0,12132.0,21.0,2938.0,13.0,5724.0,553.0,676.0,3060.3828125
2019-01-03 07:00,2250.0,13001.0,21.0,4253.0,871.0,5577.0,555.0,676.0,3256.19140625
2019-01-03 08:00,2216.0,13252.0,21.0,4409.0,2972.0,5465.0,556.0,673.0,3370.595703125
2019-01-03 09:00,2168.0,13109.0,21.0,3668.0,5060.0,5957.0,522.0,673.0,3414.2978515625
2019-01-03 10:00,2038.0,13605.0,21.0,2589.0,5804.0,6084.0,545.0,672.0,3400.64892578125
2019-01-03 11:00,2002.0,14164.0,21.0,2333.0,5616.0,6168.0,558.0,673.0,3438.324462890625
2019-01-03 12:00,1896.0,14305.0,21.0,2211.0,5266.0,6092.0,560.0,673.0,3302.6622314453125
2019-01-03 13:00,2032.0,14538.0,21.0,2484.0,3922.0,5965.0,561.0,672.0,3233.3311157226562
2019-01-03 14:00,2081.0,15875.0,21.0,2708.0,1728.0,5864.0,561.0,672.0,3359.665557861328
2019-01-03 15:00,2176.0,16875.0,29.0,3834.0,212.0,5860.0,554.0,674.0,3488.832778930664
2019-01-03 16:00,2204.0,17414.0,71.0,5267.0,1.0,5745.0,558.0,674.0,3566.416389465332
2019-01-03 17:00,2195.0,17230.0,83.0,5883.0,0.0,5786.0,558.0,674.0,3584.208194732666
2019-01-03 18:00,2182.0,17105.0,85.0,5618.0,0.0,5638.0,560.0,675.0,3547.604097366333
2019-01-03 19:00,2196.0,16573.0,101.0,3773.0,0.0,5703.0,562.0,674.0,3507.3020486831665
2019-01-03 20:00,2166.0,15006.0,137.0,2904.0,0.0,5557.0,568.0,674.0,3436.6510243415833
2019-01-03 21:00,2065.0,12773.0,148.0,2320.0,1.0,5616.0,564.0,674.0,3290.8255121707916
2019-01-03 22:00,1863.0,11492.0,81.0,1966.0,1.0,5424.0,545.0,675.0,3035.912756085396
2019-01-03 23:00,1732.0,9580.0,79.0,1975.0,0.0,5332.0,557.0,675.0,2888.456378042698
