,UTC time,carbon_intensity,coal,nat_gas,hydro,solar,wind,biomass,unknown
0,2019-01-01 00:00:00,412.22,1472.0,434.0,938.0,0.0,543.0,320.0,22.0
1,2019-01-01 01:00:00,439.51,1470.0,427.0,795.0,0.0,441.0,320.0,21.0
2,2019-01-01 02:00:00,458.62,1470.0,428.0,715.0,0.0,367.0,331.0,25.0
3,2019-01-01 03:00:00,510.77,1407.0,429.0,336.0,0.0,346.0,339.0,29.0
4,2019-01-01 04:00:00,502.13,1289.0,430.0,244.0,0.0,413.0,335.0,31.0
5,2019-01-01 05:00:00,497.46,1289.0,432.0,233.0,0.0,449.0,336.0,30.0
6,2019-01-01 06:00:00,505.02,1433.0,446.0,332.0,0.0,404.0,331.0,29.0
7,2019-01-01 07:00:00,513.75,1469.0,560.0,299.0,0.0,405.0,324.0,29.0
8,2019-01-01 08:00:00,506.23,1456.0,888.0,306.0,53.0,373.0,332.0,31.0
9,2019-01-01 09:00:00,478.66,1432.0,1094.0,400.0,196.0,341.0,326.0,28.0
10,2019-01-01 10:00:00,471.72,1430.0,1153.0,394.0,303.0,304.0,330.0,28.0
11,2019-01-01 11:00:00,469.9,1381.0,1077.0,407.0,348.0,223.0,334.0,29.0
12,2019-01-01 12:00:00,445.21,1427.0,1170.0,748.0,358.0,149.0,335.0,31.0
13,2019-01-01 13:00:00,475.29,1471.0,1189.0,559.0,351.0,97.0,340.0,32.0
14,2019-01-01 14:00:00,499.94,1329.0,1146.0,310.0,310.0,82.0,339.0,31.0
15,2019-01-01 15:00:00,507.23,1315.0,1156.0,301.0,235.0,104.0,330.0,30.0
16,2019-01-01 16:00:00,517.23,1470.0,1262.0,399.0,87.0,164.0,333.0,32.0
17,2019-01-01 17:00:00,476.49,1490.0,1382.0,745.0,1.0,253.0,334.0,32.0
18,2019-01-01 18:00:00,440.78,1624.0,1384.0,1211.0,0.0,272.0,334.0,31.0
19,2019-01-01 19:00:00,414.71,1717.0,1386.0,1617.0,0.0,285.0,337.0,31.0
