UTC time,avg_solar_production_forecast,avg_wind_production_forecast
2019-01-01 00:00:00,0.0,95.0
2019-01-01 01:00:00,0.0,90.0
2019-01-01 02:00:00,0.0,86.0
2019-01-01 03:00:00,0.0,83.0
2019-01-01 04:00:00,1.0,80.0
2019-01-01 05:00:00,2.0,72.0
2019-01-01 06:00:00,24.0,63.0
2019-01-01 07:00:00,96.0,47.0
2019-01-01 08:00:00,181.0,36.0
2019-01-01 09:00:00,244.0,41.0
2019-01-01 10:00:00,266.0,54.0
2019-01-01 11:00:00,248.0,71.0
2019-01-01 12:00:00,180.0,100.0
2019-01-01 13:00:00,82.0,153.0
2019-01-01 14:00:00,15.0,244.0
2019-01-01 15:00:00,2.0,390.0
2019-01-01 16:00:00,1.0,545.0
2019-01-01 17:00:00,1.0,688.0
2019-01-01 18:00:00,1.0,813.0
2019-01-01 19:00:00,1.0,900.0
2019-01-01 20:00:00,1.0,955.0
2019-01-01 21:00:00,0.0,999.0
2019-01-01 22:00:00,0.0,1045.0
2019-01-01 23:00:00,0.0,1164.0
2019-01-02 00:00:00,0.0,1188.0
2019-01-02 01:00:00,0.0,1189.0
2019-01-02 02:00:00,0.0,1199.0
2019-01-02 03:00:00,0.0,1178.0
2019-01-02 04:00:00,1.0,1174.0
2019-01-02 05:00:00,2.0,1156.0
2019-01-02 06:00:00,25.0,1163.0
2019-01-02 07:00:00,109.0,1152.0
2019-01-02 08:00:00,235.0,1141.0
2019-01-02 09:00:00,329.0,1089.0
2019-01-02 10:00:00,365.0,1061.0
2019-01-02 11:00:00,345.0,1028.0
2019-01-02 12:00:00,251.0,931.0
2019-01-02 13:00:00,112.0,813.0
2019-01-02 14:00:00,17.0,731.0
2019-01-02 15:00:00,2.0,699.0
2019-01-02 16:00:00,1.0,638.0
2019-01-02 17:00:00,1.0,597.0
2019-01-02 18:00:00,1.0,558.0
2019-01-02 19:00:00,1.0,519.0
2019-01-02 20:00:00,1.0,500.0
2019-01-02 21:00:00,0.0,509.0
2019-01-02 22:00:00,0.0,497.0
2019-01-02 23:00:00,0.0,425.0
2019-01-03 00:00:00,0.0,487.0
2019-01-03 01:00:00,0.0,549.0
2019-01-03 02:00:00,0.0,596.0
2019-01-03 03:00:00,0.0,612.0
2019-01-03 04:00:00,1.0,571.0
2019-01-03 05:00:00,2.0,524.0
2019-01-03 06:00:00,30.0,484.0
2019-01-03 07:00:00,101.0,391.0
2019-01-03 08:00:00,177.0,329.0
2019-01-03 09:00:00,239.0,307.0
2019-01-03 10:00:00,261.0,336.0
2019-01-03 11:00:00,234.0,398.0
2019-01-03 12:00:00,156.0,509.0
2019-01-03 13:00:00,70.0,651.0
2019-01-03 14:00:00,12.0,779.0
2019-01-03 15:00:00,5.0,1044.0
2019-01-03 16:00:00,1.0,1366.0
2019-01-03 17:00:00,1.0,1611.0
2019-01-03 18:00:00,1.0,1774.0
2019-01-03 19:00:00,1.0,1974.0
2019-01-03 20:00:00,1.0,2124.0
2019-01-03 21:00:00,0.0,2112.0
2019-01-03 22:00:00,0.0,2122.0
2019-01-03 23:00:00,0.0,2188.0
2019-01-04 00:00:00,0.0,2132.0
2019-01-04 01:00:00,0.0,2206.0
2019-01-04 02:00:00,0.0,2281.0
2019-01-04 03:00:00,0.0,2339.0
2019-01-04 04:00:00,1.0,2422.0
2019-01-04 05:00:00,4.0,2405.0
2019-01-04 06:00:00,31.0,2380.0
2019-01-04 07:00:00,112.0,2302.0
2019-01-04 08:00:00,211.0,2206.0
2019-01-04 09:00:00,294.0,2070.0
2019-01-04 10:00:00,324.0,1921.0
2019-01-04 11:00:00,299.0,1756.0
2019-01-04 12:00:00,218.0,1585.0
2019-01-04 13:00:00,107.0,1355.0
2019-01-04 14:00:00,25.0,1094.0
2019-01-04 15:00:00,5.0,878.0
2019-01-04 16:00:00,4.0,669.0
2019-01-04 17:00:00,4.0,513.0
2019-01-04 18:00:00,4.0,415.0
2019-01-04 19:00:00,4.0,363.0
2019-01-04 20:00:00,1.0,271.0
2019-01-04 21:00:00,0.0,236.0
2019-01-04 22:00:00,0.0,179.0
2019-01-04 23:00:00,0.0,80.0
2019-01-05 00:00:00,0.0,62.0
2019-01-05 01:00:00,0.0,56.0
2019-01-05 02:00:00,0.0,49.0
2019-01-05 03:00:00,0.0,64.0
2019-01-05 04:00:00,0.0,83.0
2019-01-05 05:00:00,2.0,103.0
2019-01-05 06:00:00,46.0,112.0
2019-01-05 07:00:00,183.0,117.0
2019-01-05 08:00:00,349.0,119.0
2019-01-05 09:00:00,437.0,140.0
2019-01-05 10:00:00,454.0,175.0
2019-01-05 11:00:00,405.0,217.0
2019-01-05 12:00:00,281.0,262.0
2019-01-05 13:00:00,119.0,329.0
2019-01-05 14:00:00,19.0,458.0
2019-01-05 15:00:00,1.0,638.0
2019-01-05 16:00:00,0.0,780.0
2019-01-05 17:00:00,0.0,888.0
2019-01-05 18:00:00,0.0,921.0
2019-01-05 19:00:00,0.0,910.0
2019-01-05 20:00:00,0.0,899.0
2019-01-05 21:00:00,0.0,873.0
2019-01-05 22:00:00,0.0,858.0
2019-01-05 23:00:00,0.0,934.0
2019-01-06 00:00:00,0.0,875.0
2019-01-06 01:00:00,0.0,742.0
2019-01-06 02:00:00,0.0,612.0
2019-01-06 03:00:00,0.0,486.0
2019-01-06 04:00:00,1.0,380.0
2019-01-06 05:00:00,1.0,290.0
2019-01-06 06:00:00,12.0,241.0
2019-01-06 07:00:00,53.0,256.0
2019-01-06 08:00:00,107.0,313.0
2019-01-06 09:00:00,145.0,417.0
2019-01-06 10:00:00,157.0,578.0
2019-01-06 11:00:00,146.0,763.0
2019-01-06 12:00:00,108.0,947.0
2019-01-06 13:00:00,48.0,1075.0
2019-01-06 14:00:00,8.0,1138.0
2019-01-06 15:00:00,1.0,1232.0
2019-01-06 16:00:00,0.0,1350.0
2019-01-06 17:00:00,0.0,1451.0
2019-01-06 18:00:00,0.0,1475.0
2019-01-06 19:00:00,0.0,1462.0
2019-01-06 20:00:00,0.0,1402.0
2019-01-06 21:00:00,0.0,1356.0
2019-01-06 22:00:00,0.0,1344.0
2019-01-06 23:00:00,0.0,1291.0
2019-01-07 00:00:00,0.0,1301.0
2019-01-07 01:00:00,0.0,1345.0
2019-01-07 02:00:00,0.0,1378.0
2019-01-07 03:00:00,0.0,1409.0
2019-01-07 04:00:00,1.0,1404.0
2019-01-07 05:00:00,2.0,1473.0
2019-01-07 06:00:00,15.0,1530.0
2019-01-07 07:00:00,67.0,1594.0
2019-01-07 08:00:00,128.0,1635.0
2019-01-07 09:00:00,183.0,1662.0
2019-01-07 10:00:00,206.0,1713.0
2019-01-07 11:00:00,193.0,1719.0
2019-01-07 12:00:00,146.0,1701.0
2019-01-07 13:00:00,73.0,1681.0
2019-01-07 14:00:00,17.0,1646.0
2019-01-07 15:00:00,5.0,1671.0
2019-01-07 16:00:00,4.0,1654.0
2019-01-07 17:00:00,4.0,1603.0
2019-01-07 18:00:00,1.0,1513.0
2019-01-07 19:00:00,1.0,1391.0
2019-01-07 20:00:00,1.0,1296.0
2019-01-07 21:00:00,0.0,1238.0
2019-01-07 22:00:00,0.0,1167.0
2019-01-07 23:00:00,0.0,1456.0
2019-01-08 00:00:00,0.0,1397.0
2019-01-08 01:00:00,0.0,1347.0
2019-01-08 02:00:00,0.0,1221.0
2019-01-08 03:00:00,0.0,1048.0
2019-01-08 04:00:00,0.0,865.0
2019-01-08 05:00:00,3.0,746.0
2019-01-08 06:00:00,45.0,628.0
2019-01-08 07:00:00,169.0,507.0
2019-01-08 08:00:00,332.0,435.0
2019-01-08 09:00:00,421.0,421.0
2019-01-08 10:00:00,443.0,433.0
2019-01-08 11:00:00,404.0,423.0
2019-01-08 12:00:00,292.0,419.0
2019-01-08 13:00:00,126.0,451.0
2019-01-08 14:00:00,23.0,529.0
2019-01-08 15:00:00,5.0,698.0
2019-01-08 16:00:00,1.0,887.0
2019-01-08 17:00:00,1.0,1064.0
2019-01-08 18:00:00,1.0,1126.0
2019-01-08 19:00:00,1.0,1111.0
2019-01-08 20:00:00,1.0,1072.0
2019-01-08 21:00:00,0.0,1060.0
2019-01-08 22:00:00,0.0,1044.0
2019-01-08 23:00:00,0.0,923.0
2019-01-09 00:00:00,0.0,853.0
2019-01-09 01:00:00,0.0,830.0
2019-01-09 02:00:00,0.0,762.0
2019-01-09 03:00:00,0.0,732.0
2019-01-09 04:00:00,1.0,737.0
2019-01-09 05:00:00,2.0,755.0
2019-01-09 06:00:00,25.0,735.0
2019-01-09 07:00:00,97.0,681.0
2019-01-09 08:00:00,178.0,604.0
2019-01-09 09:00:00,238.0,509.0
2019-01-09 10:00:00,250.0,455.0
2019-01-09 11:00:00,225.0,432.0
2019-01-09 12:00:00,156.0,449.0
2019-01-09 13:00:00,69.0,506.0
2019-01-09 14:00:00,13.0,646.0
2019-01-09 15:00:00,4.0,851.0
2019-01-09 16:00:00,1.0,1017.0
2019-01-09 17:00:00,1.0,1150.0
2019-01-09 18:00:00,1.0,1286.0
2019-01-09 19:00:00,1.0,1413.0
2019-01-09 20:00:00,1.0,1538.0
2019-01-09 21:00:00,0.0,1681.0
2019-01-09 22:00:00,0.0,1718.0
2019-01-09 23:00:00,0.0,1780.0
2019-01-10 00:00:00,0.0,1902.0
2019-01-10 01:00:00,0.0,2010.0
2019-01-10 02:00:00,0.0,2109.0
2019-01-10 03:00:00,0.0,2138.0
2019-01-10 04:00:00,1.0,2096.0
2019-01-10 05:00:00,2.0,1826.0
2019-01-10 06:00:00,7.0,1498.0
2019-01-10 07:00:00,29.0,1114.0
2019-01-10 08:00:00,59.0,833.0
2019-01-10 09:00:00,80.0,650.0
2019-01-10 10:00:00,91.0,572.0
2019-01-10 11:00:00,86.0,530.0
2019-01-10 12:00:00,65.0,467.0
2019-01-10 13:00:00,31.0,440.0
2019-01-10 14:00:00,10.0,447.0
2019-01-10 15:00:00,8.0,514.0
2019-01-10 16:00:00,8.0,504.0
2019-01-10 17:00:00,4.0,477.0
2019-01-10 18:00:00,4.0,478.0
2019-01-10 19:00:00,1.0,497.0
2019-01-10 20:00:00,1.0,525.0
2019-01-10 21:00:00,0.0,536.0
2019-01-10 22:00:00,0.0,550.0
2019-01-10 23:00:00,0.0,499.0
2019-01-11 00:00:00,0.0,525.0
2019-01-11 01:00:00,0.0,613.0
2019-01-11 02:00:00,0.0,778.0
2019-01-11 03:00:00,0.0,1038.0
2019-01-11 04:00:00,1.0,1235.0
2019-01-11 05:00:00,2.0,1402.0
2019-01-11 06:00:00,9.0,1506.0
2019-01-11 07:00:00,39.0,1574.0
2019-01-11 08:00:00,82.0,1579.0
2019-01-11 09:00:00,117.0,1552.0
2019-01-11 10:00:00,135.0,1502.0
2019-01-11 11:00:00,132.0,1439.0
2019-01-11 12:00:00,109.0,1338.0
2019-01-11 13:00:00,58.0,1185.0
2019-01-11 14:00:00,14.0,1044.0
2019-01-11 15:00:00,5.0,929.0
2019-01-11 16:00:00,4.0,808.0
2019-01-11 17:00:00,4.0,633.0
2019-01-11 18:00:00,4.0,445.0
2019-01-11 19:00:00,4.0,299.0
2019-01-11 20:00:00,1.0,190.0
2019-01-11 21:00:00,0.0,157.0
2019-01-11 22:00:00,0.0,162.0
2019-01-11 23:00:00,0.0,142.0
2019-01-12 00:00:00,0.0,207.0
2019-01-12 01:00:00,0.0,308.0
2019-01-12 02:00:00,0.0,440.0
2019-01-12 03:00:00,0.0,542.0
2019-01-12 04:00:00,1.0,670.0
2019-01-12 05:00:00,1.0,770.0
2019-01-12 06:00:00,24.0,873.0
2019-01-12 07:00:00,102.0,987.0
2019-01-12 08:00:00,199.0,1115.0
2019-01-12 09:00:00,260.0,1209.0
2019-01-12 10:00:00,278.0,1267.0
2019-01-12 11:00:00,255.0,1297.0
2019-01-12 12:00:00,197.0,1300.0
2019-01-12 13:00:00,93.0,1276.0
2019-01-12 14:00:00,19.0,1243.0
2019-01-12 15:00:00,1.0,1204.0
2019-01-12 16:00:00,0.0,1138.0
2019-01-12 17:00:00,0.0,1022.0
2019-01-12 18:00:00,0.0,900.0
2019-01-12 19:00:00,0.0,768.0
2019-01-12 20:00:00,0.0,653.0
2019-01-12 21:00:00,0.0,567.0
2019-01-12 22:00:00,0.0,473.0
2019-01-12 23:00:00,0.0,344.0
2019-01-13 00:00:00,0.0,273.0
2019-01-13 01:00:00,0.0,229.0
2019-01-13 02:00:00,0.0,205.0
2019-01-13 03:00:00,0.0,226.0
2019-01-13 04:00:00,0.0,240.0
2019-01-13 05:00:00,1.0,274.0
2019-01-13 06:00:00,23.0,314.0
2019-01-13 07:00:00,88.0,298.0
2019-01-13 08:00:00,162.0,264.0
2019-01-13 09:00:00,198.0,245.0
2019-01-13 10:00:00,212.0,255.0
2019-01-13 11:00:00,190.0,280.0
2019-01-13 12:00:00,139.0,328.0
2019-01-13 13:00:00,65.0,404.0
2019-01-13 14:00:00,13.0,482.0
2019-01-13 15:00:00,1.0,605.0
2019-01-13 16:00:00,0.0,734.0
2019-01-13 17:00:00,0.0,800.0
2019-01-13 18:00:00,0.0,833.0
2019-01-13 19:00:00,0.0,846.0
2019-01-13 20:00:00,0.0,867.0
2019-01-13 21:00:00,0.0,918.0
